Step,Mode,Time,Sx:0.2,Sy:0.2
0,1,0,0,0
0,1,0.1,1.414210965,1.36521616
0,1,0.2,2.82842193,2.632432319
0,1,0.3,4.242632895,3.801648479
0,1,0.4,5.65684386,4.872864639
0,1,0.5,7.071054825,5.846080799
0,1,0.6,8.48526579,6.721296958
0,1,0.7,9.899476755,7.498513118
0,1,0.8,11.31368772,8.177729278
0,1,0.9,12.72789869,8.758945437
0,1,1,14.14210965,9.242161597
0,1,1.1,15.55632062,9.627377757
0,1,1.2,16.97053158,9.914593917
0,1,1.3,18.38474255,10.10381008
0,1,1.4,19.79895351,10.19502624
0,1,1.5,21.21316448,10.1882424
0,1,1.6,22.62737544,10.08345856
0,1,1.7,24.04158641,9.880674715
0,1,1.8,25.45579737,9.579890875
0,1,1.9,26.87000834,9.181107035
0,1,2,28.2842193,8.684323194
0,1,2.1,29.69843027,8.089539354
0,1,2.2,31.11264123,7.396755514
0,1,2.3,32.5268522,6.605971674
0,1,2.4,33.94106316,5.717187833
0,1,2.5,35.35527413,4.730403993
0,1,2.6,36.76948509,3.645620153
0,1,2.7,38.18369606,2.462836312
0,1,2.8,39.59790702,1.182052472
0,1,2.89,40.87069689,-0.054442984
1,1,0,40.87069689,0
1,1,0.1,42.14348676,1.223794544
1,1,0.2,43.41627663,2.349589087
1,1,0.3,44.68906649,3.377383631
1,1,0.4,45.96185636,4.307178175
1,1,0.5,47.23464623,5.138972719
1,1,0.6,48.5074361,5.872767262
1,1,0.7,49.78022597,6.508561806
1,1,0.8,51.05301584,7.04635635
1,1,0.9,52.32580571,7.486150894
1,1,1,53.59859557,7.827945437
1,1,1.1,54.87138544,8.071739981
1,1,1.2,56.14417531,8.217534525
1,1,1.3,57.41696518,8.265329069
1,1,1.4,58.68975505,8.215123612
1,1,1.5,59.96254492,8.066918156
1,1,1.6,61.23533479,7.8207127
1,1,1.7,62.50812465,7.476507244
1,1,1.8,63.78091452,7.034301787
1,1,1.9,65.05370439,6.494096331
1,1,2,66.32649426,5.855890875
1,1,2.1,67.59928413,5.119685419
1,1,2.2,68.872074,4.285479962
1,1,2.3,70.14486387,3.353274506
1,1,2.4,71.41765373,2.32306905
1,1,2.5,72.6904436,1.194863594
1,1,2.6,73.96323347,-0.031341863
