2018-02-05 16:16:16,874 INFO  [parser] Model type: 3
2018-02-05 16:16:16,875 INFO  [parser] Primary solver: dReal
2018-02-05 16:16:16,875 INFO  [parser] Secondary solver: dReal
2018-02-05 16:16:16,875 INFO  [algorithm] Domain of nondeterministic parameters: Kd:[-0.1,4.94066e-324]; Ki:[-1e-06,4.94066e-324]; Kp:[-0.001,4.94066e-324]; 
2018-02-05 16:16:16,875 INFO  [algorithm] Mean: Kd:[-0.05,-0.05]; Ki:[-5e-07,-5e-07]; Kp:[-0.0005,-0.0005]; 
2018-02-05 16:16:16,875 INFO  [algorithm] Standard deviation: Kd:[0.05,0.05]; Ki:[5e-07,5e-07]; Kp:[0.0005,0.0005]; 
2018-02-05 16:16:16,875 INFO  [algorithm] Variance: Kd:[0.0025,0.0025]; Ki:[2.5e-13,2.5e-13]; Kp:[2.5e-07,2.5e-07]; 
2018-02-05 16:16:16,877 INFO  [algorithm] Sample size: 63
2018-02-05 16:16:16,877 INFO  [algorithm] Quasi-random sample: Kd:[-0.148437,-0.148437]; Ki:[-1.51597e-06,-1.51597e-06]; Kp:[0.000396326,0.000396326]; 
2018-02-05 16:16:16,877 INFO  [algorithm] The sample is outside the domain
2018-02-05 16:16:16,877 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 16:16:16,877 INFO  [algorithm] Quasi-random sample: Kd:[0.027173,0.027173]; Ki:[-1.29718e-06,-1.29718e-06]; Kp:[0.000163651,0.000163651]; 
2018-02-05 16:16:16,877 INFO  [algorithm] The sample is outside the domain
2018-02-05 16:16:16,877 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 16:16:16,877 INFO  [algorithm] Quasi-random sample: Kd:[-0.0892336,-0.0892336]; Ki:[-2.23191e-07,-2.23191e-07]; Kp:[-0.000623492,-0.000623492]; 
2018-02-05 16:16:16,877 INFO  [algorithm] The sample is inside the domain
2018-02-05 16:16:16,877 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 16:30:26,524 INFO  [algorithm] Random sample size: 267
2018-02-05 16:30:26,524 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 16:30:26,524 INFO  [algorithm] Probability: [0,0.0537175]

2018-02-05 16:30:26,524 INFO  [algorithm] Quasi-random sample: Kd:[-0.109744,-0.109744]; Ki:[2.73261e-07,2.73261e-07]; Kp:[-0.000998592,-0.000998592]; 
2018-02-05 16:30:26,524 INFO  [algorithm] The sample is outside the domain
2018-02-05 16:30:26,524 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 16:30:26,525 INFO  [algorithm] Quasi-random sample: Kd:[-0.0714142,-0.0714142]; Ki:[-1.22704e-06,-1.22704e-06]; Kp:[-0.000272211,-0.000272211]; 
2018-02-05 16:30:26,525 INFO  [algorithm] The sample is outside the domain
2018-02-05 16:30:26,525 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 16:30:26,525 INFO  [algorithm] Quasi-random sample: Kd:[0.0061279,0.0061279]; Ki:[-2.83037e-07,-2.83037e-07]; Kp:[-0.00117932,-0.00117932]; 
2018-02-05 16:30:26,525 INFO  [algorithm] The sample is outside the domain
2018-02-05 16:30:26,525 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 16:30:26,525 INFO  [algorithm] Quasi-random sample: Kd:[-0.126468,-0.126468]; Ki:[-7.98031e-07,-7.98031e-07]; Kp:[-0.000560301,-0.000560301]; 
2018-02-05 16:30:26,525 INFO  [algorithm] The sample is outside the domain
2018-02-05 16:30:26,525 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 16:30:26,525 INFO  [algorithm] Quasi-random sample: Kd:[-0.00711332,-0.00711332]; Ki:[-8.66878e-07,-8.66878e-07]; Kp:[-0.00034353,-0.00034353]; 
2018-02-05 16:30:26,525 INFO  [algorithm] The sample is inside the domain
2018-02-05 16:30:26,525 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 17:04:10,691 INFO  [algorithm] Random sample size: 277
2018-02-05 17:04:10,691 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 17:04:10,691 INFO  [algorithm] Probability: [0,0.0643369]

2018-02-05 17:04:10,691 INFO  [algorithm] Quasi-random sample: Kd:[0.00446857,0.00446857]; Ki:[-7.20165e-07,-7.20165e-07]; Kp:[-0.000444946,-0.000444946]; 
2018-02-05 17:04:10,691 INFO  [algorithm] The sample is outside the domain
2018-02-05 17:04:10,691 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 17:04:10,692 INFO  [algorithm] Quasi-random sample: Kd:[-0.113352,-0.113352]; Ki:[-1.00452e-06,-1.00452e-06]; Kp:[-0.000776338,-0.000776338]; 
2018-02-05 17:04:10,692 INFO  [algorithm] The sample is outside the domain
2018-02-05 17:04:10,692 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 17:04:10,692 INFO  [algorithm] Quasi-random sample: Kd:[0.00204189,0.00204189]; Ki:[2.11347e-07,2.11347e-07]; Kp:[4.98131e-05,4.98131e-05]; 
2018-02-05 17:04:10,692 INFO  [algorithm] The sample is outside the domain
2018-02-05 17:04:10,692 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 17:04:10,692 INFO  [algorithm] Quasi-random sample: Kd:[-0.0427425,-0.0427425]; Ki:[-9.10742e-07,-9.10742e-07]; Kp:[-0.00121994,-0.00121994]; 
2018-02-05 17:04:10,692 INFO  [algorithm] The sample is outside the domain
2018-02-05 17:04:10,692 INFO  [algorithm] Probability: [-inf,-inf]

2018-02-05 17:04:10,692 INFO  [algorithm] Quasi-random sample: Kd:[-0.0362854,-0.0362854]; Ki:[-3.8357e-07,-3.8357e-07]; Kp:[-0.000722844,-0.000722844]; 
2018-02-05 17:04:10,692 INFO  [algorithm] The sample is inside the domain
2018-02-05 17:04:10,692 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 18:05:56,426 INFO  [algorithm] Random sample size: 483
2018-02-05 18:05:56,426 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 18:05:56,426 INFO  [algorithm] Probability: [0.178866,0.299485]

2018-02-05 18:05:56,427 INFO  [algorithm] Quasi-random sample: Kd:[-0.0541415,-0.0541415]; Ki:[-1.83114e-07,-1.83114e-07]; Kp:[-0.000663282,-0.000663282]; 
2018-02-05 18:05:56,427 INFO  [algorithm] The sample is inside the domain
2018-02-05 18:05:56,427 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 19:53:54,217 INFO  [algorithm] Random sample size: 574
2018-02-05 19:53:54,217 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 19:53:54,217 INFO  [algorithm] Probability: [0.649653,0.749653]

2018-02-05 19:53:54,217 INFO  [algorithm] Quasi-random sample: Kd:[-0.000588318,-0.000588318]; Ki:[-5.53751e-07,-5.53751e-07]; Kp:[-0.000707181,-0.000707181]; 
2018-02-05 19:53:54,217 INFO  [algorithm] The sample is inside the domain
2018-02-05 19:53:54,217 INFO  [algorithm] Bayesian estimations algorithm started
2018-02-05 20:25:29,428 INFO  [algorithm] Random sample size: 289
2018-02-05 20:25:29,428 INFO  [algorithm] Bayesian estimations algorithm finished
2018-02-05 20:25:29,428 INFO  [algorithm] Probability: [0,0.0774914]

