Step,Mode,Time,SAin:1e-7,SAout:1e-7
0,1,10,7.48E-07,5.00E-06
0,1,20,7.85E-07,5.00E-06
0,1,30,8.23E-07,5.00E-06
0,1,40,8.60E-07,5.00E-06
0,1,50,8.96E-07,5.00E-06
0,1,60,9.32E-07,5.00E-06
0,1,70,9.66E-07,5.00E-06
0,1,80,1.00E-06,5.00E-06
0,1,90,1.03E-06,5.00E-06
0,1,100,1.06E-06,5.00E-06
0,1,110,1.09E-06,5.00E-06
0,1,120,1.12E-06,5.00E-06
0,1,130,1.15E-06,5.00E-06
0,1,140,1.18E-06,5.00E-06
0,1,150,1.20E-06,5.00E-06
0,1,160,1.22E-06,5.00E-06
0,1,170,1.25E-06,5.00E-06
0,1,180,1.27E-06,5.00E-06
0,1,190,1.28E-06,5.00E-06
0,1,200,1.30E-06,5.00E-06
0,1,210,1.32E-06,5.00E-06
0,1,220,1.33E-06,5.00E-06
0,1,230,1.35E-06,5.00E-06
0,1,240,1.36E-06,5.00E-06
0,1,250,1.37E-06,5.00E-06
0,1,260,1.38E-06,5.00E-06
0,1,270,1.39E-06,5.00E-06
0,1,280,1.40E-06,5.00E-06
0,1,290,1.41E-06,5.00E-06
0,1,300,1.42E-06,5.00E-06
0,1,310,1.43E-06,5.00E-06
0,1,320,1.43E-06,5.00E-06
0,1,330,1.44E-06,5.00E-06
0,1,340,1.44E-06,5.00E-06
0,1,350,1.45E-06,5.00E-06
0,1,360,1.45E-06,5.00E-06
0,1,370,1.46E-06,5.00E-06
0,1,380,1.46E-06,5.00E-06
0,1,390,1.46E-06,5.00E-06
0,1,400,1.47E-06,5.00E-06
0,1,410,1.47E-06,5.00E-06
0,1,420,1.47E-06,5.00E-06
0,1,430,1.47E-06,5.00E-06
0,1,440,1.48E-06,5.00E-06
0,1,450,1.48E-06,5.00E-06
0,1,460,1.48E-06,5.00E-06
0,1,470,1.48E-06,5.00E-06
0,1,480,1.48E-06,5.00E-06
0,1,490,1.48E-06,5.00E-06
0,1,500,1.49E-06,5.00E-06
0,1,510,1.49E-06,5.00E-06
0,1,520,1.49E-06,5.00E-06
0,1,530,1.49E-06,5.00E-06
0,1,540,1.49E-06,5.00E-06
