Step,Mode,Time,v:4,x:4,y:4,z:4
0,1,83,2.5,,, 
0,1,165,1.2,,, 
0,1,223,0.8,,, 
1,2,262,0.6,,, 
1,2,285,1.6,,,
1,2,333,6.5,,,
1,2,362,7.5,,,
1,2,398,10.8,,,
2,3,417,10.5,,, 
2,3,508,0.6,,,
2,3,592,0.2,,, 
3,4,798,0.8,,,
3,4,840,2.5,,,
3,4,894,5.9,,,
3,4,922,8,,,
3,4,950,10.3,,,
4,5,970,12.4,,,
4,5,1019,2.6,,,
4,5,1110,0.4,,,
4,5,1194,0.3,,,
5,6,1250,0.5,,,
5,6,1278,0.6,,,
5,6,1307,2.5,,,
5,6,1335,3.7,,,
5,6,1362,5.7,,,
5,6,1390,8.4,,,
5,6,1425,11.3,,,
6,7,1446,12.7,,,
6,7,1474,4,,,
6,7,1502,1.6,,,
6,7,1586,0.8,,,
6,7,1670,0.6,,,
7,8,1746,0.5,,,
7,8,1775,1.8,,,
7,8,1803,3.9,,,
7,8,1831,6.2,,,
7,8,1858,8.2,,,
7,8,1887,9.7,,,
7,8,1917,11.8,,,
8,9,1943,14,,,
8,9,2065,0.8,,,
8,9,2174,0.6,,,
