Step,Mode,Time,SC:10,TA:10,GA:10,SP:10,GC:10,CC:10,SC_d:100,TA_d:100,GA_d:100,SP_d:100,CC_d:100
0,1,0,25.52846764,6.150500588,4.918093711,19.15022411,9.578620275,14.94997752,313.9339275,1559.978644,998.0348277,3877.684843,3772.976979
0,1,0.4,24.40327682,3.824521732,4.841526125,19.16598934,9.587811238,14.96453677,297.7541479,894.4712253,914.7531085,3864.466757,3772.136812
0,1,0.8,23.2659436,2.3967167,4.638704599,19.14957694,9.586942104,14.96343082,281.6739028,500.8458356,740.9488022,3796.565482,3767.707572
0,1,1.2,22.18709335,1.894116974,4.387796945,19.11342243,9.58554354,14.96230775,266.4864116,282.6425977,563.2334309,3661.010938,3752.921428
0,1,1.6,21.18876918,3.038943909,4.173116887,19.05719391,9.583183768,14.96113486,252.1383845,161.5563986,411.8795996,3471.53982,3722.280624
0,1,2,20.32553802,6.920756448,4.143881302,18.99044551,9.579547126,14.95986314,238.5806659,94.29174765,293.8012589,3246.686748,3672.805195
1,2,0.066666667,20.35481411,8.244668865,4.172793492,18.98038953,9.578844696,14.95964828,238.5966676,95.21176272,278.413622,3208.962062,3663.078491
1,2,0.133333333,20.38491277,9.607222152,4.217194093,18.97036332,9.578075743,14.95941796,238.6135024,96.17948681,263.2790394,3168.908355,3652.346223
1,2,0.2,20.41430297,10.93908494,4.275174405,18.96106162,9.57727931,14.9591833,238.6303281,97.14649489,249.1513324,3128.575598,3641.120884
1,2,0.266666667,20.442945,12.23845434,4.347282198,18.9527283,9.5764564,14.9589438,238.6471443,98.11273052,236.0416898,3088.014961,3629.367993
1,2,0.333333333,20.47084434,13.50548892,4.433199473,18.94557199,9.575610616,14.9586992,238.6639511,99.07818116,223.89794,3047.295569,3617.08485
2,3,0.4,19.76801061,15.36484125,4.991419334,18.93158686,9.570615982,14.95720326,226.4722424,60.91421906,164.6358596,2814.562821,3537.319847
2,3,0.8,19.14601783,18.04924663,5.692362344,18.97098195,9.565839233,14.95545322,214.3206718,38.11805602,117.1292722,2572.92782,3437.131166
2,3,1.2,18.60750492,20.04549654,6.495666542,19.07474547,9.562830972,14.95357559,202.832305,25.27280517,82.62093101,2340.166142,3322.653821
2,3,1.6,18.13193671,21.24253188,7.337647998,19.24770168,9.56299528,14.95168339,191.9686951,17.91927488,58.14555093,2120.112968,3196.626294
2,3,2,17.7086201,21.85162623,8.1677794,19.48930401,9.567715152,14.94994879,181.6943545,13.64163537,41.07179888,1914.979875,3061.787257
